product,quantity,price,date,region
Oranges,6,7.73769990093242,2023-05-18,East
Apples,4,4.918892975238821,2023-01-15,South
Bananas,15,8.110034180166974,2023-02-01,South
Apples,2,8.414351902425775,2023-01-13,East
Grapes,15,3.6447637409879166,2023-09-18,East
Grapes,17,8.604961243815191,2023-07-19,South
Mangoes,7,1.4926228718778902,2023-07-16,South
Strawberries,19,4.939885639058954,2023-09-06,North
Oranges,10,5.054461146386649,2023-10-15,East
Apples,5,1.0971622300802526,2023-08-19,West
Strawberries,6,2.124350549255437,2023-11-22,South
Strawberries,1,3.184075538474302,2023-01-09,East
Apples,9,2.985967995202632,2023-08-27,East
Strawberries,6,4.082978386691092,2023-11-28,South
Apples,4,6.899364712875503,2023-11-19,South
Pineapples,4,4.596905915980224,2023-08-01,North
Bananas,5,5.385746397320122,2023-02-25,West
Mangoes,5,8.736356095310411,2023-12-22,North
Oranges,10,2.7702504330396556,2023-08-03,West
Mangoes,2,3.764663284422497,2023-10-17,South
Mangoes,14,9.814161679860668,2023-11-10,East
Bananas,8,9.268049206944744,2023-06-27,North
Grapes,7,7.525886033054857,2023-09-14,North
Strawberries,5,9.251495187639701,2023-01-04,East
Mangoes,10,3.6387306173757192,2023-04-04,North
Bananas,10,2.1196504711271524,2023-01-12,South
Grapes,5,8.024373606405366,2023-08-21,North
Grapes,17,4.970467870452379,2023-04-30,North
Oranges,9,5.328737524899139,2023-05-29,West
Mangoes,10,9.19788334279051,2023-12-18,East
Bananas,11,6.3602675750492335,2023-06-21,West
Oranges,8,8.464026087088525,2023-05-12,West
Grapes,8,4.604039186934955,2023-09-05,South
Strawberries,6,7.069373960860021,2023-01-06,West
Apples,12,3.5944062188719705,2023-11-03,North
Strawberries,4,2.544694649957216,2023-07-05,North
Bananas,1,4.204022931635034,2023-04-13,East
Mangoes,4,7.77346276237387,2023-03-02,East
Bananas,4,2.181886184832706,2023-01-25,East
Grapes,20,9.69597949167697,2023-04-08,North
Bananas,8,9.625089437375273,2023-07-07,South
Pineapples,9,9.474623102610355,2023-09-01,North
Pineapples,12,5.1743195883116755,2023-05-29,East
Apples,13,8.922045886428082,2023-12-06,South
Bananas,6,5.265076563368191,2023-09-20,East
Oranges,11,8.616622720937627,2023-12-12,North
Grapes,12,9.3852185524044,2023-03-30,West
Oranges,20,3.5624884777854464,2023-08-21,North
Oranges,7,2.447345266395598,2023-10-26,South
Oranges,1,5.015420266704793,2023-10-30,North
Pineapples,10,3.3306711827602955,2023-06-08,East
Grapes,8,4.939843511244535,2023-06-17,South
Strawberries,14,9.775886945327969,2023-06-14,South
Apples,10,3.900618953186367,2023-07-12,South
Oranges,13,1.1800136993105261,2023-04-15,North
Grapes,18,8.58785636880823,2023-07-28,East
Apples,20,1.580736381422522,2023-10-29,North
Strawberries,16,8.742807033884944,2023-04-19,North
Pineapples,7,4.3468400307195445,2023-08-18,West
Oranges,16,9.51323016497663,2023-10-21,West
Pineapples,18,3.4987937238113576,2023-06-21,West
Strawberries,14,1.0585465505707616,2023-02-07,East
Mangoes,12,6.842513762134269,2023-08-05,South
Bananas,19,7.2283914624594185,2023-06-28,West
Pineapples,2,6.168861445782156,2023-04-26,North
Grapes,9,5.833868082582934,2023-12-07,South
Grapes,11,7.605237450647859,2023-04-19,West
Apples,19,2.6219809771356717,2023-03-30,South
Oranges,7,8.753775252626781,2023-06-16,West
Pineapples,15,3.760835274858576,2023-10-12,South
Strawberries,11,4.626269644907875,2023-11-29,West
Mangoes,14,5.216352496584572,2023-01-27,East
Strawberries,5,1.8132684827164474,2023-11-18,West
Pineapples,20,8.702029911648156,2023-10-02,West
Grapes,6,6.731245341783027,2023-08-17,West
Mangoes,11,4.267664227732016,2023-04-14,East
Bananas,13,1.7963218308131212,2023-08-10,South
Bananas,6,4.677827334924002,2023-01-13,South
Mangoes,14,4.220471791951352,2023-11-27,West
Oranges,7,9.984628747401157,2023-03-21,North
Oranges,4,8.585048638172726,2023-04-01,North
Apples,6,9.179117135244457,2023-04-25,East
Mangoes,17,2.027743793511789,2023-07-07,East
Bananas,3,2.090020219992087,2023-03-23,North
Apples,12,9.402352799207144,2023-08-16,North
Apples,6,8.96514035465048,2023-10-03,South
Pineapples,16,8.062543787088437,2023-05-06,North
Bananas,2,9.957043549499483,2023-07-14,West
Strawberries,5,4.067498392034631,2023-07-07,West
Grapes,12,5.361444330696191,2023-03-04,East
Strawberries,13,8.446659222476475,2023-10-20,North
Pineapples,3,2.1203488521010874,2023-02-09,West
Strawberries,3,1.2736409761490377,2023-09-07,South
Bananas,19,8.213292107780912,2023-04-16,North
Strawberries,9,9.107503345778625,2023-09-06,North
Grapes,7,9.748202800488075,2023-11-13,West
Oranges,20,9.157137218198617,2023-04-23,East
Apples,3,4.5405127855646885,2023-03-11,South
Mangoes,18,9.883332696368905,2023-01-21,West
Apples,13,6.109352884787657,2023-04-16,North
Strawberries,2,9.939469995140106,2023-05-16,North
Mangoes,9,9.431589652596902,2023-01-27,North
Oranges,7,8.33262891787402,2023-11-05,West
Bananas,18,3.005775107151335,2023-12-02,East
Strawberries,16,2.3352344848286526,2023-05-20,West
Apples,17,5.717989147790762,2023-03-09,South
Grapes,7,6.018451799207024,2023-07-23,East
Bananas,13,3.6603555678282387,2023-08-21,East
Grapes,17,8.841937460173636,2023-07-01,West
Pineapples,7,8.484716160799934,2023-01-22,East
Strawberries,7,1.1930487571753474,2023-03-07,North
Apples,14,1.5674129793184601,2023-12-10,North
Oranges,6,9.457305691159778,2023-03-08,East
Bananas,14,5.601538851445766,2023-05-01,South
Mangoes,11,9.404153708170487,2023-02-14,West
Oranges,12,6.476146409220919,2023-12-12,East
Apples,8,3.0820745739896482,2023-03-04,West
Mangoes,16,2.5449207351744194,2023-08-26,North
Strawberries,16,9.370180193016218,2023-04-10,East
Pineapples,12,3.01312869785872,2023-05-03,South
Grapes,6,9.260583440126162,2023-06-29,West
Grapes,17,6.935388785176373,2023-03-06,South
Mangoes,17,3.1120082120860775,2023-06-06,East
Strawberries,12,6.046502187491091,2023-12-31,South
Bananas,6,9.601863409169425,2023-05-24,West
Apples,19,2.010950312162201,2023-09-18,South
Apples,13,2.827763163943228,2023-05-10,South
Pineapples,3,4.581060845696303,2023-12-12,West
Pineapples,20,7.983022036693637,2023-03-15,East
Mangoes,15,5.895480940890916,2023-12-06,North
Mangoes,6,9.141236865408882,2023-12-20,South
Pineapples,9,5.273818622904353,2023-11-09,North
Mangoes,9,5.4201272291556455,2023-10-22,West
Mangoes,15,8.025143135642297,2023-06-29,South
Grapes,6,1.6166537877351066,2023-07-29,East
Strawberries,1,4.18900293060915,2023-10-26,North
Bananas,8,6.0898999244335785,2023-07-11,North
Grapes,20,2.93948630184846,2023-04-11,South
Bananas,12,6.612708749758223,2023-09-02,West
Oranges,1,5.2093738409723604,2023-11-02,North
Strawberries,7,8.228665663462372,2023-08-25,East
Bananas,11,7.275717837897681,2023-03-26,West
Mangoes,13,6.096854291416909,2023-09-10,North
Strawberries,20,6.882992006874039,2023-05-24,West
Apples,5,8.645116153013198,2023-01-31,South
Strawberries,13,5.729626697067052,2023-02-25,South
Pineapples,4,5.099460962330948,2023-06-28,South
Strawberries,18,8.927907123360816,2023-04-28,North
Mangoes,19,2.319892626926542,2023-06-14,West
Grapes,11,1.6333979600580955,2023-06-13,East
Mangoes,5,9.412423448925372,2023-01-06,North
Strawberries,17,7.579000451038285,2023-11-07,East
Mangoes,12,1.1603468843722227,2023-02-11,North
Strawberries,19,7.133744351647454,2023-08-08,North
Oranges,5,5.275490802541187,2023-09-25,South
Bananas,10,8.849915698213355,2023-02-04,South
Oranges,7,5.5746983240177626,2023-01-04,West
Oranges,7,3.9020377493062615,2023-03-25,South
Pineapples,11,3.493572640673591,2023-06-05,West
Mangoes,20,3.7973241407699114,2023-08-09,South
Bananas,11,3.4283545237266746,2023-06-08,West
Oranges,17,5.621733871057772,2023-10-08,North
Oranges,8,2.8759396599913103,2023-12-06,West
Bananas,9,4.251367893247758,2023-02-06,West
Mangoes,8,3.73568658859969,2023-01-13,North
Apples,14,6.490749152825794,2023-05-26,East
Bananas,19,3.149744329621674,2023-10-12,South
Mangoes,2,7.111443222294615,2023-02-24,East
Bananas,3,9.155833522437034,2023-11-05,East
Grapes,20,6.255670827383185,2023-04-01,East
Pineapples,15,8.917960784875376,2023-07-15,West
Apples,9,9.357180481013588,2023-03-30,North
Strawberries,10,7.852375434608912,2023-12-10,North
Bananas,12,7.495032817476121,2023-08-15,East
Pineapples,15,2.7679010974466487,2023-10-02,East
Bananas,3,6.633456272072513,2023-12-21,West
Grapes,16,8.466019478335888,2023-10-22,West
Oranges,1,9.925405538837213,2023-08-16,West
Strawberries,19,2.004568499749018,2023-11-27,North
Mangoes,2,2.181956543950234,2023-10-23,West
Grapes,2,2.7245377445824204,2023-02-14,South
Strawberries,17,2.589245518783793,2023-06-27,East
Strawberries,16,2.310670117200434,2023-04-17,East
Grapes,20,8.718551883516993,2023-04-01,East
Strawberries,13,5.423195148000771,2023-02-18,East
Mangoes,3,1.7503185721243977,2023-07-22,West
Strawberries,18,1.6947337873442652,2023-07-05,South
Bananas,1,4.153895274283313,2023-05-18,North
Apples,8,1.8854158300895492,2023-10-27,South
Mangoes,6,4.408492126151691,2023-05-31,North
Oranges,19,1.0494824611997324,2023-12-22,South
Bananas,1,9.470845739687892,2023-10-02,East
Bananas,2,7.166887545729648,2023-07-07,East
Oranges,6,1.2312281097988724,2023-04-13,South
Grapes,6,6.4786743179477,2023-10-07,South
Pineapples,14,7.848082109739844,2023-12-06,North
Grapes,2,1.903151421702718,2023-07-06,East
Strawberries,6,6.610244399182474,2023-01-04,North
Oranges,10,3.919100176743047,2023-09-05,North
Oranges,19,6.476442855794596,2023-07-01,South
Bananas,19,9.678461645118313,2023-01-03,West
Strawberries,14,4.987015845184661,2023-10-06,West
Strawberries,9,1.0764791190975584,2023-10-07,West
Oranges,6,7.628219179507666,2023-09-20,North
Pineapples,5,8.405787781269545,2023-05-19,North
Oranges,5,2.723393271365257,2023-08-01,North
Grapes,9,4.062719218228659,2023-06-16,West
Mangoes,6,2.740919594555434,2023-03-21,East
Grapes,20,9.506016566126315,2023-02-27,West
Pineapples,11,8.64645097181589,2023-01-21,South
Pineapples,9,8.311670790345733,2023-11-27,South
Mangoes,15,5.10329552803649,2023-02-20,East
Oranges,20,3.255562171674088,2023-02-17,West
Pineapples,6,1.3200595264839081,2023-12-14,East
Mangoes,7,6.9960880010504285,2023-04-13,West
Pineapples,20,6.188242983899465,2023-05-09,North
Strawberries,8,7.8117650489135135,2023-09-04,East
Apples,8,4.667708949680536,2023-04-25,South
Grapes,4,8.360429623699584,2023-11-27,East
Mangoes,3,4.558785101767575,2023-12-17,South
Bananas,20,9.397092636809653,2023-05-22,South
Apples,6,5.783151461676949,2023-06-10,East
Apples,9,7.9447327651857504,2023-11-26,South
Oranges,9,6.698737395086621,2023-11-19,North
Pineapples,6,1.024887176975603,2023-05-17,West
Bananas,10,3.5517251739686406,2023-12-07,North
Strawberries,5,3.643046001957228,2023-07-18,East
Bananas,19,1.286602829700395,2023-06-17,East
Grapes,19,6.543252646418154,2023-10-19,North
Bananas,3,3.8018312185541454,2023-11-30,East
Strawberries,4,9.656391721902077,2023-11-16,East
Mangoes,19,8.717677360932202,2023-07-17,East
Oranges,17,1.8968603553354872,2023-12-01,South
Bananas,11,4.29621007683523,2023-01-02,West
Pineapples,11,9.40405369066904,2023-08-30,South
Oranges,18,5.867025861904224,2023-07-19,West
Grapes,10,5.938741081342335,2023-07-25,West
Oranges,18,7.499861982143028,2023-12-02,West
Oranges,15,5.0856848103609025,2023-11-23,South
Strawberries,5,3.2620800693270184,2023-12-14,South
Pineapples,8,6.057824534160366,2023-08-15,South
Mangoes,14,3.908703491071087,2023-10-07,South
Apples,1,5.189282137669396,2023-12-09,South
Bananas,3,5.999117564462558,2023-02-07,East
